FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
185.0,30366,CALLE SANTIAGO CUADRADO,1.0,3000.0,P0192,376384.550636,3149666.23098,-16.2626826375,28.4677291255
186.0,30993,AVDA DE BELGICA,1.0,3200.0,P0193,376039.766163,3149373.82714,-16.2661723093,28.4650575999
187.0,30993,AVDA DE BELGICA,1.0,3200.0,P0194,375943.164208,3149394.83782,-16.2671610989,28.4652380227
188.0,10035,CALLE LAURA GROTE DE LA PUERTA,1.0,3000.0,P0195,374273.1,3146943.37,-16.2839489001,28.4429549776
189.0,21707,AVDA DE VENEZUELA,2.0,3000.0,P0196,375624.93,3149549.59,-16.2704277074,28.4666042599
190.0,22123,CALLE LOS REALEJOS,1.0,3000.0,P0197,375123.583201,3150174.71534,-16.2756154331,28.4721977396
191.0,21707,AVDA DE VENEZUELA,1.0,3000.0,P0198,375645.144745,3149456.29223,-16.2702111961,28.4657642266
192.0,21707,AVDA DE VENEZUELA,1.0,3200.0,P0199,375676.368904,3149416.09755,-16.2698879871,28.465404469
193.0,51401,CALLE LAS CAÑADAS,1.0,3000.0,P0200,374710.656639,3149636.36813,-16.2797740736,28.4672998466
194.0,32091,CALLE EMILIO SERRA RUS,1.0,3000.0,P0201,374793.959612,3149604.61068,-16.2789198942,28.4670212564
195.0,32021,CALLE ARICO,1.0,3000.0,P0202,374705.685503,3149535.12713,-16.2798138312,28.4663857276
196.0,30304,AVDA ISLAS CANARIAS,1.0,3000.0,P0203,375598.133635,3149363.90719,-16.2706813154,28.4649260175
197.0,44486,CALLE BELISARIO GUIMERA Y DEL CASTILLO VALERO,1.0,3000.0,P0204,375673.942113,3149239.1792,-16.2698936813,28.4638076454
198.0,44447,CALLE RODRIGO DE TRIANA,1.0,3000.0,P0205,374642.346747,3147909.72877,-16.2802838896,28.451711348
199.0,51447,CALLE CRUZ DE LA GALLEGA,1.0,3000.0,P0206,371024.62,3145013.4,-16.3169002568,28.4252213082
200.0,57274,CTRA GENERAL DEL SUR,1.0,3000.0,P0207,370906.551708,3144899.62989,-16.3180928088,28.4241829436
201.0,52733,CTRA DEL TABLERO,1.0,3000.0,P0208,369963.392188,3144384.56802,-16.3276627112,28.4194413076
202.0,52717,CALLE PETUNIA,1.0,3000.0,P0209,369935.251322,3144189.51389,-16.3279279984,28.417678277
203.0,52795,CALLE ZARZAMORA,1.0,3000.0,P0210,369300.151933,3144737.6364,-16.3344727933,28.4225613102
204.0,52435,CALLE CASTAÑO,1.0,3000.0,P0211,369524.245799,3144574.71457,-16.332166848,28.4211134597
205.0,50541,CALLE EL DRAGUILLO,1.0,3000.0,P0212,372444.336201,3146102.04351,-16.3025276666,28.4351850767
206.0,50684,CALLE RAMOS,1.0,3000.0,P0213,372277.658708,3146325.83167,-16.3042540927,28.4371883289
207.0,50622,CALLE LOS PEREGRINOS,1.0,3000.0,P0214,372010.071238,3146177.29198,-16.3069695403,28.4358216446
208.0,50316,CALLE PRUDENCIO TADEO,1.0,3000.0,P0215,372543.305439,3146715.43816,-16.3015850191,28.4407302497
209.0,10476,CALLE EL CANARIO,1.0,3000.0,P0216,372355.018418,3147048.36042,-16.3035442319,28.4437162628
210.0,50421,AVDA DE TINCER,1.0,3000.0,P0217,372458.691685,3146997.12421,-16.3024800527,28.4432640242
211.0,10042,CALLE EL BUHO,1.0,3000.0,P0218,371910.154538,3146295.14237,-16.3080027036,28.4368753693
