FID,CODCALLE,TEXTO,CAPACIDAD,GEOCODIGO,NOTAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
11.0,01129,PLAZA DIVINA PASTORA,2500.0,CT 0080,"CL JUAN RUMEU GARCIA, 16 / PARQUE INFANTIL / CONT. BAS.",375380.542193,3149351.23752,-16.2729020454,28.4647909028
12.0,10001,CALLE LA BARCA,2500.0,CT 0721,CT A IGUESTE SAN ANDRES / CL ROMERO / CONT. BAS.,383606.836642,3154407.40225,-16.1894028409,28.5111815578
13.0,10265,PARQUE GARCIA SANABRIA,1500.0,CT 1174,CL MENDEZ NU¥EZ / CL DOCTOR JOSE NAVEIRAS / PZ / PARQUE,377368.067895,3150120.97138,-16.2526867884,28.4719258167
14.0,10265,PARQUE GARCIA SANABRIA,2700.0,CT 2518,CL GENERAL ANTEQUERA / CL NUMANCIA,377180.370419,3150039.14666,-16.2545950187,28.4711697178
15.0,10265,PARQUE GARCIA SANABRIA,2700.0,CT 0000,CL GENERAL ANTEQUERA / CL NUMANCIA,377093.586911,3150144.45104,-16.2554925687,28.4721118576
16.0,10271,PLAZA LOS SABANDEÑOS,2700.0,CT 2328,CL HELIODORO RGUEZ. LOPEZ / PLAZA,376420.734568,3148986.7451,-16.2622402323,28.4616005459
17.0,10271,PLAZA LOS SABANDEÑOS,2500.0,CT 3183,"CL HELIODORO RGUEZ. LOPEZ, 7 / PLAZA",376405.415444,3148917.99586,-16.2623892979,28.4609786674
18.0,10271,PLAZA LOS SABANDEÑOS,2700.0,CT 2091,CL HELIODORO RGUEZ. LOPEZ / SUPERMERCADO / TRAFICO,376396.838332,3148825.14772,-16.2624669289,28.4601399474
19.0,10350,PLAZA HERMOGENES AFONSO DE LA CRUZ,2700.0,CT 2370,CL DECANO CONSULAR JESUS RAMOS GLEZ /CL FLOR DE MAYO,372932.771387,3144950.99045,-16.2974143799,28.4248451374
20.0,10363,PLAZA TENOYA,2500.0,CT 0471,CL VOLCAN DE LAS ARENAS / CL LA BREGA / EDIF. LAS 1¦ 50 VIVIENDAS,371670.387731,3147261.13569,-16.3105580371,28.4455692777
21.0,10448,CARRETERA ROQUE NEGRO,2500.0,CT 0327,CT A ROQUE NEGRO / ERMITA / P. BUS / CONT. BAS.,378011.013393,3157996.77877,-16.2469560035,28.5430612282
22.0,10522,CARRETERA EL BAILADERO,2500.0,CT 0326,CT GRAL. / PLAZA-IGLESIA / BAR CASA DOMINGA / CONT. BAS.,379297.436623,3157321.52407,-16.233737858,28.5370875117
23.0,11052,PLAZA WEYLER,1300.0,CT 0963,CL MENDEZ NU¥EZ / PLAZA WEYLER / CONT. BAS.,377055.630905,3149688.40341,-16.255831541,28.4679926765
24.0,10206,CALLE DOCTOR FRANCISCO TRUJILLO CASTRO,2700.0,CT 3259,CL DTOR. FRANCISCO TRUJILLO CASTRO,378021.057146,3151268.91644,-16.2461393928,28.4823467425
25.0,10495,CALLE 122,1500.0,CT 1249,CM SAN FCO. DE PAULA / CL ZAPATERA / BAR CARNIC. CUNDY / CONT. BAS.,369958.474074,3147611.65493,-16.3280765409,28.4485629883
26.0,10245,CALLE MERCEDES MACHADO,2700.0,CT 2785,CL RUBEN MARICHAL / CL DOCTOR GARCIA ESTRADA / RES. MAYORES,376884.278993,3150855.00487,-16.2577061945,28.4785044889
27.0,10497,CALLE PINTOR JOSE AGUIAR,2700.0,CT 3285,CL PINTOR JOSE AGUIAR / HOTEL MENCEY (DETRAS),377388.057081,3150470.72055,-16.2525198722,28.4750840109
28.0,10499,CALLE MAYANTIGO,2700.0,CT 2084,"CL DORAMAS, 17 / RESID. ROCAMAR II",372466.712227,3144128.36063,-16.3020812037,28.4173759703
29.0,10499,CALLE MAYANTIGO,2700.0,CT 2377,CL MAYANTIGO / CL ACHAMAN,372376.292033,3144056.24866,-16.3029962066,28.4167163733
30.0,10170,CALLE LA BERLINA,2700.0,CT 2764,CL BERLINA / CL TANGANILLO,371360.066874,3147287.41545,-16.3137294174,28.4457758812
31.0,10606,CALLE VOLCAN CHAORRA,1500.0,CT 1246,CL VOLCAN CHAORA / CL TINGUANTON / P.E.,371502.624643,3147211.44195,-16.3122654023,28.4451043164
32.0,50316,CALLE PRUDENCIO TADEO,2700.0,CT 2790,"CL PRUDENCIO TADEO, 9 / AA.VV. ACORAN / ESCAL. A LA PLAZA",372561.102227,3146735.05748,-16.3014054843,28.4409090396
33.0,51513,CALLE HILARIO GARCIA,3000.0,CT 0015,CL BARRANCO GRANDE / CL HILARIO GARCIA / AA.VV. MOLINO,371740.869128,3146305.95077,-16.3097322101,28.4369562868
34.0,11334,PLAZA PRINCIPE DE ASTURIAS,3000.0,STR 5,CL VILLALBA HERVAS / PZ DEL PRINCIPE,377571.517375,3149682.84599,-16.2505623922,28.4679910703
35.0,21897,PLAZA JOSE CARLOS SCHWARTZ,2500.0,CT 0554,CL MENCEY BENCOMO / CL PEDRO SCHWARTZ,375469.830037,3150079.44524,-16.2720689303,28.4713711045
36.0,30954,PLAZA FRANCISCO HERNANDEZ BARROSO,2700.0,CT 3416,CL FEBLES CAMPOS / CL PEDRO PINTO DE LA ROSA,376017.888463,3149898.68829,-16.2664522133,28.4697921116
37.0,31095,PARQUE LA GRANJA,2700.0,CT 3547,"AV DE MADRID / DISCOTECA ""KU""",376199.484797,3149100.05217,-16.2645118013,28.4626020983
38.0,40055,BARRANCO EL BUFADERO,2700.0,CT 3143,CT A VALLE CRISPIN (CRUCE A LA IZQUIERDA) / REST. LA CHARCA,379624.43274,3154378.44274,-16.2300877725,28.5105579462
39.0,10121,AVENIDA LA CONSTITUCION,2500.0,CT 0586,AV DE LA CONSTITUCION / PARQUE MARITIMO / CONT. BAS.,377030.70947,3148117.08074,-16.2559183945,28.4538099068
40.0,42286,CAMINO DE TABORNO,2700.0,CT 2753,CT A TABORNO / TORREON / CONT. BAS.,376297.439737,3159525.11063,-16.2646332467,28.5566914855
41.0,46407,CALLE RIO ORINOCO,2700.0,CT 2512,CT A CUEVA BERMEJA (ENTRADA A LA DERECHA) / CONT. BAS.,381043.785996,3152694.85357,-16.2154123021,28.4954947472
42.0,47353,CARRETERA LAS GAVIOTAS,2500.0,CT 0646,CT ACCESO A LA PLAYA / APART. PLAYA CHICA / P.E.,385157.281034,3154858.0617,-16.1736068776,28.5153863772
43.0,54651,CALLE ESCALERA SAN JUANITO,3000.0,CT 0032,CL EL LLANITO (FINAL PARTE ALTA) / CONT. BAS.,376778.879497,3151365.9486,-16.2588373895,28.4831055262
44.0,54852,PLAZA SAN SEBASTIAN,2700.0,CT 2072,CL AGUERE / CL PADRE ANCHIETA / PLAZA SAN SEBASTIAN,377154.967674,3149260.3948,-16.2547714179,28.4641394729
45.0,83205,CALLE PARALELA A CARRETERA LOS CAMPITOS,2700.0,CT 2595,CT LOS CAMPITOS / COLEGIO (FRENTE),376627.182807,3151441.04967,-16.2603948769,28.4837689181
46.0,10191,PASEO LOS FELIPES,1500.0,CT 1227,CL PASEO LOS FELIPES / CAMPO DE FUTBOL,379989.558474,3152594.08916,-16.2261711421,28.4944886648
47.0,10203,CALLE SAN ANTONIO,2500.0,CT 0473,"CL MENDEZ NU¥EZ / CL SAN ANTONIO, 67",377398.332506,3150305.92178,-16.2523973827,28.47359775
48.0,10501,AVENIDA MANUEL HERMOSO ROJAS,2500.0,CT 0582,AV MANUEL HERMOSO / EDIF. NUEVO RASCACIELOS / P.E.,377018.668039,3148280.41866,-16.2560587768,28.4552828179
49.0,51776,CALLE FURIA,1500.0,CT 1257,CL LOS PEREGRINOS / CL MAJANILLO / CONT. BAS.,372103.670817,3146184.89233,-16.3060147941,28.435899406
